0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:41:58 +0900] "POST /ongjooProject/www/board/list.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:01 +0900] "GET /ongjooProject/www/board/read.jsp?num=2&board=tblBoard&nowPage=2&keyField=&keyWord= HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:03 +0900] "GET /ongjooProject/www/board/delete.jsp?nowPage=2&num=2&board=tblBoard HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:07 +0900] "POST /ongjooProject/www/board/delete.jsp?board=tblBoard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:07 +0900] "GET /ongjooProject/www/board/list.jsp?nowPage=2 HTTP/1.1" 200 4086
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:11 +0900] "GET /ongjooProject/www/board/list.jsp?num=&board=&nowPage=1&keyField=&keyWord= HTTP/1.1" 200 6145
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:25 +0900] "GET /ongjooProject/www/board/read.jsp?num=20&board=tblBoard&nowPage=1&keyField=&keyWord= HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:27 +0900] "POST /ongjooProject/www/board/list.jsp HTTP/1.1" 200 6145
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:32 +0900] "GET /ongjooProject/www/board/list2.jsp HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:40 +0900] "GET /ongjooProject/www/board/list.jsp HTTP/1.1" 200 6145
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:45 +0900] "GET /ongjooProject/www/member/member.jsp HTTP/1.1" 200 4276
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:45 +0900] "GET /ongjooProject/www/member/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:54 +0900] "POST /ongjooProject/www/member/loginProc.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:56 +0900] "GET /ongjooProject/www/index.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:56 +0900] "GET /ongjooProject/www/left.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:56 +0900] "GET /ongjooProject/www/left.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:56 +0900] "GET /ongjooProject/www/head.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:56 +0900] "GET /ongjooProject/www/main.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:56 +0900] "GET /ongjooProject/www/copy.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:42:59 +0900] "GET /ongjooProject/www/member/memberList.jsp HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:48:58 +0900] "GET /ongjooProject/www/member/memberUpdate.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:48:58 +0900] "GET /ongjooProject/www/member/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:53:30 +0900] "GET /ongjooProject/www/member/memberList.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:53:40 +0900] "GET /ongjooProject/www/member/memberUpdate.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:55:12 +0900] "GET /ongjooProject/www/member/memberList.jsp HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:55:18 +0900] "GET /ongjooProject/www/member/memberListUpdate.jsp?id=bbb HTTP/1.1" 200 3514
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:55:24 +0900] "POST /ongjooProject/www/member/memberUpdateProc.jsp HTTP/1.1" 200 142
